title,_genre,url,?instrumental,?classical,?rock,?indie,?country,?rap,?pop,?jazz,?blues,?electronic
"Beethoven, Symphony 5, movement I",classical,6z4KK7RWjmk,1,1,,,,,,,,
"Tchaikovsky, 1812 overture",classical,VbxgYlcNxE8,1,1,,,,,,,,
"Beethoven, Symphony 9, movement IV(Ode to Joy)",classical,rHuGktVssdc,1,1,,,,,,,,
"Bach, Toccata and Fugue in D minor",classical,IVJD3dL4diY,1,1,,,,,,,,
"Orff, Carmina Burana – O Fortuna",classical,GXFSK0ogeg4,1,1,,,,,,,,
"Strauss, Blue Danube Waltz",classical,_CTYymbbEL4,1,1,,,,,,,,
"Verdi, Requiem – Dies Irae",classical,_jBLyIQvNf0,1,1,,,,,,,,
"Strauss, Also Sprach Zarathustra",classical,IFPwm0e_K98,1,1,,,,,,,,
"Offenbach, Orpheus in the Underworld – Infernal Galop",classical,hRmFAP9EvVY,1,1,,,,,,,,
"Beethoven, 7.th Symphony – movement II",classical,mgHxmAsINDk,1,1,,,,,,,,
Aerosmith - Sweet Emotion,classical_rock,PvezjDat48U,,1,1,,,,,,,
Led Zepplin - Kashmir,classical_rock,ZDwotNLyz10,,1,1,,,,,,,
Rolling Stones - Gimme Shelter,classical_rock,n_a0zOLMAfw,,1,1,,,,,,,
AC/DC - Back In Black,classical_rock,pAgnJDJN4VA,,1,1,,,,,,,
Like a Stone - Audioslave,classical_rock,7QU1nvuxaMA,,1,1,,,,,,,
Californication - Red Hot Chili Peppers,classical_rock,YlUKcNNmywk,,1,1,,,,,,,
Queen - Bohemian Rhapsody,classical_rock,fJ9rUzIMcZQ,,1,1,,,,,,,
Journey - Don't Stop Believin,classical_rock,KCy7lLQwToI,,1,1,,,,,,,
Pink Floyd - Comfortably Numb,classical_rock,_FrOQC-zEog,,1,1,,,,,,,
Guns N Roses - Sweet Child O Mine,classical_rock,1w7OgIMMRc4,,1,1,,,,,,,
Dead Eye - Middle Class Rut,indie,n3R_Bi6xIdo,,,,1,,,,,,
The Zolas - Knot in my Heart,indie,noZu0X-KMnA,,,,1,,,,,,
Techno Fan - Wombats,indie,w8l-9nuXkDo,,,,1,,,,,,
North Star - The Rural Alberta Advantage,indie,DwHzPlaILVc,,,,1,,,,,,
Perfect World - Broken Bells,indie,SnmzqnJtNb4,,,,1,,,,,,
Hollow Tune - Brick + Mortar,indie,bcLktOIwDPM,,,,1,,,,,,
Skeleton Key - Margot & The Nuclear So So's,indie,fzd6MSh9u_w,,,,1,,,,,,
Gold Lion - Yeah Yeah Yeahs,indie,jMMkP_ofpXg,,,,1,,,,,,
"Shake, Shake, Shake - Bronze Radio Return",indie,KSw6CVvhRck,,,,1,,,,,,
Suburban War - Arcade Fire,indie,cNdqoQWz34E,,,,1,,,,,,
David Allan Coe - The Ride,country,S6uR1rZjKkM,,,,,1,,,,,
Conway Twitty - Hello Darlin',country,JGWm6mkqmRo,,,,,1,,,,,
Charlie Rich - Behind Closed Doors,country,O3iEFfA4TmI,,,,,1,,,,,
George Strait - Amarillo By Morning,country,wtVeDaZxAXo,,,,,1,,,,,
Tammy Wynette - Stand By Your Man,country,IgWKSdkW1A0,,,,,1,,,,,
Hank Williams - Your Cheatin Heart,country,cS4LCoh0VGQ,,,,,1,,,,,
Johnny Cash - I Walk The Line,country,Lq0fUa0vW_E,,,,,1,,,,,
Patsy Cline - Crazy,country,6QEDb3xzdec,,,,,1,,,,,
George Jones - He Stopped Loving Her Today,country,ubKUP8c0FHE,,,,,1,,,,,
Garth Brooks - Friends In Low Places,country,mvCgSqPZ4EM,,,,,1,,,,,
Lose Yourself - Eminem,rap,6Un9HLDCTCs,,,,,,1,,,,
Two Wheels - Wax,rap,Jv94SkcJAm4,,,,,,1,,,,
Breath of Air - Grieves,rap,v9T04PpCYK4,,,,,,1,,,,
Party And Bullshit - Ratatat & The Notorious B.I.G,rap,rEaPDNgUPLE,,,,,,1,,,,
"Pete Rock & C.L. Smooth - ""They Reminisce Over You (T.R.O.Y.)""",rap,BONgL61snlM,,,,,,1,,,,
"2Pac - ""Dear Mama""",rap,Mb1ZvUDvLDY,,,,,,1,,,,
"Ice Cube - ""It Was A Good Day""",rap,8CPlF-IEkXQ,,,,,,1,,,,
"Sugar Hill Gang - ""Rapper's Delight""",rap,rKTUAESacQM,,,,,,1,,,,
"Warren G & Nate Dogg - ""Regulate""",rap,1plPyJdXKIY,,,,,,1,,,,
Dutch - Dessa,rap,gF3EcrRXO50,,,,,,1,,,,
Blank Space - Taylor Swift,pop,e-ORhEE9VVg,,,,,,,1,,,
Thrift Shop - Macklemore,pop,QK8mJJJvaes,,,,,,,1,,,
House of Gold - Twenty One Pilots,pop,mDyxykpYeu8,,,,,,,1,,,
Little Talks - Of Monsters and Men,pop,ghb6eDopW8I,,,,,,,1,,,
Demons - Imagine Dragons,pop,LqI78S14Wgg,,,,,,,1,,,
Want U Back - Cher Lloyd,pop,LPgvNlrBfb0,,,,,,,1,,,
Madness - Muse,pop,Mq9zhpBweDk,,,,,,,1,,,
Body Electric - Lana Del Ray,pop,nzV1st_Ekrc,,,,,,,1,,,
Til Kingdom Come - Coldplay,pop,fqHNzlms-ok,,,,,,,1,,,
Paper Planes - Street Sweeper Social Club,pop,AQFWAXNQzAA,,,,,,,1,,,
Jerome - Zella Day,indie-pop,_dQLWXAM3Ew,,,,1,,,1,,,
Pressure - Until the Ribbon Breaks,indie-pop,I3lehql_iMQ,,,,1,,,1,,,
Papaoutai - Stromae,indie-pop,oiKj0Z_Xnjc,,,,1,,,1,,,
Sordid Affair - Royksopp,indie-pop,f8JhkiWR114,,,,1,,,1,,,
The Last High - The Dandy Warhols,indie-pop,5GyjC4C5puw,,,,1,,,1,,,
Fall Into You - Night Terrors of 1927,indie-pop,67aDk4DaFHg,,,,1,,,1,,,
Bravado - Lorde,indie-pop,5QsgIo71DaY,,,,1,,,1,,,
Back To Life - 3OH!3,indie-pop,0e2JwQMs13g,,,,1,,,1,,,
Paris - Magic Man,indie-pop,-5s1q7SVs6U,,,,1,,,1,,,
Ho Hey - The Lumineers,indie-pop,zvCBSSwgtg4,,,,1,,,1,,,
Take Five Dave - Brubeck,jazz,vmDDOFXSgAs,,,,,,,,1,,
So What - Miles Davis,jazz,ylXk1LBvIqU,,,,,,,,1,,
Take The A Train - Duke Ellington,jazz,dthGrehkuEk,,,,,,,,1,,
Round Midnight - Thelonious Monk,jazz,IKayR1oqC7w,,,,,,,,1,,
My Favorite Things - John Coltrane,jazz,qWG2dsXV5HI,,,,,,,,1,,
Embraceable You - Billie Holiday,jazz,ayhjjNke1tk,,,,,,,,1,,
All Blues - Miles Davis,jazz,-488UORrfJ0,,,,,,,,1,,
Birdland - Weather Report,jazz,Ae0nwSv6cTU,,,,,,,,1,,
The Girl From Ipanema - Stan Getz & Astrud Gilberto,jazz,c5QfXjsoNe4,,,,,,,,1,,
